theta_deg,linear_travel_mm
42.2681787858572,14.5995764692875
42.5083388925951,14.6598530859563
42.7484989993329,14.7201297026251
42.9886591060707,14.7804063192939
43.2288192128085,14.8406829359627
43.4689793195464,14.9009595526315
43.7091394262842,14.9612361693002
43.949299533022,15.021512785969
44.1894596397598,15.0817894026378
44.4296197464977,15.1420660193066
44.6697798532355,15.2023426359754
44.9099399599733,15.2626192526441
45.1501000667111,15.3228958693129
45.390260173449,15.3831724859817
45.6304202801868,15.4434491026505
45.8705803869246,15.5037257193193
46.1107404936624,15.5640023359881
46.3509006004003,15.6242789526568
46.5910607071381,15.6845555693256
46.8312208138759,15.7448321859944
47.0713809206137,15.8051088026632
47.3115410273516,15.865385419332
47.5517011340894,15.9256620360007
47.7918612408272,15.9859386526695
48.032021347565,16.0462152693383
