Time (ms),Marker 1
9133,-0.04149213
9150,-0.05862045
9167,-0.07254037
9183,-0.08264756
9200,-0.08848175
9217,-0.0898201
9233,-0.08679462
9250,-0.07985342
9267,-0.06955244
9283,-0.05629377
9300,-0.0401477
9317,-0.02087322
9333,0.001856716
9350,0.0281608
9367,0.05767934
9383,0.08924718
9400,0.1205474
9417,0.1481802
9433,0.1685314
9450,0.1790964
9467,0.1793543
9483,0.170646
9500,0.1553575
9517,0.136066
9533,0.1150208
9550,0.09396228
9567,0.07412943
9583,0.0563374
9600,0.04106701
9617,0.02853386
9633,0.01873069
9650,0.01142251
9667,0.006135768
9683,0.002244292
9700,-0.0008187474
9717,-0.003350085
9733,-0.005353353
9750,-0.006715917
9767,-0.007400226
9783,-0.007498331
9800,-0.007170104
9817,-0.006569366
9833,-0.005817231
9850,-0.005000906
9867,-0.004180946
9883,-0.003397321
9900,-0.002676677
9917,-0.002038393
9933,-0.001490946
9950,-0.001035547
9967,-0.0006673526
9983,-0.0003778839
10000,-0.0001538182
10017,2.66456E-05
10033,0.0001865196
10050,0.0003488158
10067,0.0005353354
10083,0.0007654571
10100,0.001058559
10117,0.001431599
10133,0.001895475
10150,0.002452611
10167,0.00309453
10183,0.003804273
10200,0.004552774
10217,0.005292797
10233,0.005956516
10250,0.006456728
10267,0.006712284
10283,0.006709861
10300,0.006557254
10317,0.006432503
10333,0.006422814
10350,0.006403436
10367,0.006118813
10383,0.00538969
10400,0.004230604
10417,0.002805061
10433,0.001340761
10450,9.810434E-05
10467,-0.0006782531
10483,-0.0008635615
10500,-0.0005377576
10517,4.23907E-05
10533,0.0005571361
10550,0.0007533453
10567,0.0005462362
10583,3.875738E-05
10600,-0.0005740932
10617,-0.001169987
10633,-0.001788893
10650,-0.002550716
10667,-0.003484526
10683,-0.004440136
10700,-0.005169258
10717,-0.005491427
10733,-0.005367888
10750,-0.004814385
10767,-0.003738869
10783,-0.001865195
10800,0.001179675
10817,0.005688847
10833,0.01175073
10850,0.01924301
10867,0.02791496
10883,0.03749165
10900,0.04774659
10917,0.0584957
10933,0.06949793
10950,0.08037541
10967,0.09067275
10983,0.1000096
11000,0.1081487
11017,0.1149167
11033,0.1201065
11050,0.1234723
11067,0.1247925
11083,0.1239205
11100,0.1208066
11117,0.1155065
11133,0.1081656
11150,0.09896676
11167,0.08805173
11183,0.07547501
11200,0.06122689
11217,0.04530371
11233,0.02779871
11250,0.00901956
11267,-0.0103688
11283,-0.02931023
11300,-0.04655483
11317,-0.06101129
11333,-0.0720026
11350,-0.07926352
11367,-0.08278318
11383,-0.0826948
11400,-0.07931324
11417,-0.07322109
11433,-0.06525523
11450,-0.056358
11467,-0.0473663
11483,-0.03883605
11500,-0.03096105
11517,-0.02365649
11533,-0.01679523
11550,-0.01042934
11567,-0.004792579
11583,-6.539747E-05
11600,0.003849094
11617,0.007303338
11633,0.01065947
11650,0.01408949
11667,0.01762246
11683,0.02132742
11700,0.02537878
11717,0.02992308
11733,0.03492399
11750,0.04016471
11767,0.0453921
11783,0.05044388
11800,0.05525343
11817,0.05974564
11833,0.06373277
11850,0.06690115
11867,0.06887653
11883,0.06930288
11900,0.06788463
11917,0.06443527
11933,0.05893778
11950,0.0515218
11967,0.0423012
11983,0.03120571
12000,0.01801732
12017,0.002613688
12033,-0.01483196
12050,-0.03388723
12067,-0.05406161
12083,-0.07494816
12100,-0.09616051
12117,-0.1170967
12133,-0.1367104
12150,-0.1534947
12167,-0.1657808
12183,-0.1722339
12200,-0.172269
12217,-0.1661805
12233,-0.1549723
12250,-0.1400605
12267,-0.1229891
12283,-0.1051946
12300,-0.08780228
12317,-0.07151452
12333,-0.05666199
12350,-0.04337186
12367,-0.03171681
12383,-0.02175255
12400,-0.01348997
12417,-0.006872157
12433,-0.001781625
12450,0.001934233
12467,0.004437713
12483,0.005883845
12500,0.006410703
12517,0.006141824
12533,0.005204381
12550,0.003789739
12567,0.002217646
12583,0.0008926296
12600,0.000116272
12617,-0.0001053715
12633,-5.571364E-05
12650,-0.0001041603
12667,-0.0004868889
12683,-0.001195421
12700,-0.001976623
12717,-0.002442922
12733,-0.002285471
12750,-0.001469145
12767,-0.0002337551
12783,0.001088839
12800,0.002261247
12817,0.003192634
12833,0.003879365
12850,0.004338397
12867,0.004574575
12883,0.004573364
12900,0.00429964
12917,0.003701324
12933,0.00274208
12950,0.001467934
12967,6.055848E-05
12983,-0.001206322
13000,-0.002119541
13017,-0.002642765
13033,-0.002868042
13050,-0.002880153
13067,-0.002719068
13083,-0.0024405
13100,-0.002120752
13117,-0.001794948
13133,-0.001457033
13150,-0.001128807
13167,-0.0008562945
13183,-0.0006431293
13200,-0.0004566097
13217,-0.000299158
13233,-0.0002046871
13250,-0.0001647186
13267,-0.0001368618
13283,-0.0001174831
13300,-0.0001404953
13317,-0.0001986312
13333,-0.0002446556
13350,-0.0002700901
13367,-0.0003015804
13383,-0.0003294372
13400,-0.0003027915
13417,-0.0002083206
13433,-7.024762E-05
13450,0.0001259613
13467,0.0004335975
13483,0.0008708285
13500,0.00141222
13517,0.002061405
13533,0.002819595
13550,0.003547506
13567,0.0039048
13583,0.003471203
13600,0.001912432
13617,-0.0009725664
13633,-0.005290374
13650,-0.01110397
13667,-0.01844485
13683,-0.02730211
13700,-0.03761398
13717,-0.0492872
13733,-0.06224183
13750,-0.07638825
13767,-0.09151208
13783,-0.1071809
13800,-0.1228086
13817,-0.1378574
13833,-0.1519929
13850,-0.1650723
13867,-0.1769708
13883,-0.1873202
13900,-0.1952921
13917,-0.1995978
13933,-0.1987814
13950,-0.1916477
13967,-0.1775412
13983,-0.1564076
14000,-0.1287458
14017,-0.09552709
14033,-0.05810326
14050,-0.01818323
14067,0.02205534
14083,0.0599503
14100,0.09270265
14117,0.1179531
14133,0.1341645
14150,0.1406661
14167,0.1376103
14183,0.1260146
14200,0.1077441
14217,0.08526607
14233,0.06120745
14250,0.03786344
14267,0.01682792
14283,-0.001054928
14300,-0.01537574
14317,-0.0257748
14333,-0.03184757
14350,-0.03334215
14367,-0.03032879
14383,-0.02319383
14400,-0.01257192
14417,0.0007073085
14433,0.01571003
14450,0.03149637
14467,0.04710829
14483,0.06151995
14500,0.07374425
14517,0.08307511
14533,0.08922663
14550,0.09224243
14567,0.09232842
14583,0.08978981
14600,0.08505657
14617,0.07868341
14633,0.07125653
14650,0.06326646
14667,0.05502932
14683,0.04671347
14700,0.03843153
14717,0.03028644
14733,0.02232543
14750,0.01447101
14767,0.006531818
14783,-0.001727122
14800,-0.01052382
14817,-0.01998304
14833,-0.03000666
14850,-0.04017925
14867,-0.04983707
14883,-0.05824859
14900,-0.06470895
14917,-0.06853141
14933,-0.06906798
14950,-0.06580146
14967,-0.05839033
14983,-0.04662506
15000,-0.03042328
15017,-0.009896432
15033,0.01452068
15050,0.04182035
15067,0.07007565
15083,0.0963725
15100,0.1174444
15117,0.1307926
15133,0.1355295
15150,0.1324095
15167,0.1232168
15183,0.1100332
15200,0.09474348
15217,0.0788336
15233,0.06338154
15250,0.04911643
15267,0.03648033
15283,0.02568278
15300,0.01676012
15317,0.009632406
15333,0.004148245
15350,0.0001150608
15367,-0.002683945
15383,-0.004470415
15400,-0.005457515
15417,-0.005837821
15433,-0.005777263
15450,-0.005416335
15467,-0.004871311
15483,-0.004239082
15500,-0.003591108
15517,-0.00296978
15533,-0.002396898
15550,-0.001888208
15567,-0.001455822
15583,-0.001104583
15600,-0.0008296489
15617,-0.0006225394
15633,-0.0004747772
15650,-0.000371828
15667,-0.0002967357
15683,-0.0002289104
15700,-0.0001513958
15717,-4.96578E-05
15733,9.325983E-05
15750,0.0002918911
15767,0.0005571364
15783,0.0008950518
15800,0.001315326
15817,0.001831283
15833,0.002450189
15850,0.003168411
15867,0.003971414
15883,0.004830131
15900,0.005698537
15917,0.006514863
15933,0.007219762
15950,0.007791433
15967,0.008255309
15983,0.008627136
16000,0.008814868
16017,0.008617448
16033,0.007864104
16050,0.006557256
16067,0.004868891
16083,0.003029129
16100,0.001262036
16117,-0.0002083209
16133,-0.001177254
16150,-0.001555139
16167,-0.001447346
16183,-0.001133653
16200,-0.0009580329
16217,-0.001191787
16233,-0.001928177
16250,-0.003053351
16267,-0.004320231
16283,-0.005449037
16300,-0.006156357
16317,-0.006124867
16333,-0.005025128
16350,-0.002625808
16367,0.001120328
16383,0.006089744
16400,0.01208138
16417,0.01893416
16433,0.02661053
16450,0.03519164
16467,0.04475743
16483,0.05524735
16500,0.06642399
16517,0.07792643
16533,0.08932956
16550,0.1001586
16567,0.1098988
16583,0.1180415
16600,0.1241336
16617,0.1278204
16633,0.1288778
16650,0.1272754
16667,0.1232531
16683,0.117333
16700,0.1102064
16717,0.1025106
16733,0.09463564
16750,0.0866783
16767,0.07856351
16783,0.07023554
16800,0.06180702
16817,0.05360378
16833,0.04611756
16850,0.03994184
16867,0.03571853
16883,0.03403382
16900,0.03521591
16917,0.03914976
16933,0.04527459
16950,0.05276564
16967,0.06075088
16983,0.0684733
17000,0.07539755
17017,0.0812281
17033,0.08579904
17050,0.08891902
17067,0.09032035
17083,0.08969174
17100,0.08664928
17117,0.08062246
17133,0.0708059
17150,0.05630578
17167,0.03640876
17183,0.01085201
17200,-0.02000965
17217,-0.0552194
17233,-0.09340384
17250,-0.1329727
17267,-0.172114
17283,-0.2086247
17300,-0.2398824
17317,-0.2632446
17333,-0.2767878
17350,-0.2799356
17367,-0.2735395
17383,-0.2593701
17400,-0.2394064
17417,-0.2153562
17433,-0.1885737
17450,-0.160224
17467,-0.1314527
17483,-0.1034215
17500,-0.07721911
17517,-0.05374793
17533,-0.03364014
17550,-0.01721067
17567,-0.004437713
17583,0.00498516
17600,0.01151214
17617,0.01560103
17633,0.01764911
17650,0.01800156
17667,0.01694543
17683,0.01467933
17700,0.01134378
17717,0.00713377
17733,0.002396899
17750,-0.002369041
17767,-0.006611757
17783,-0.009845571
17800,-0.01176769
17817,-0.01233936
17833,-0.01177738
17850,-0.01046327
17867,-0.008828193
17883,-0.007280322
17900,-0.006157569
17917,-0.005663413
17933,-0.005789374
17950,-0.006302909
17967,-0.006856412
17983,-0.00715557
18000,-0.007073211
18017,-0.006638402
18033,-0.00596136
18050,-0.005158357
18067,-0.004315386
18083,-0.00348937
18100,-0.002721491
18117,-0.002043237
18133,-0.001469145
18150,-0.0009980011
18167,-0.0006225395
18183,-0.0003379155
18200,-0.0001368618
18217,-4.844685E-06
18233,7.509233E-05
18250,0.0001174832
18267,0.0001320172
18283,0.0001295948
18300,0.0001247502
18317,0.0001320172
18333,0.0001635075
18350,0.0002276992
18367,0.0003318595
18383,0.0004856776
18400,0.0007000541
18417,0.0009810447
18433,0.001326227
18450,0.001728334
18467,0.002180099
18483,0.002670622
18500,0.003174467
18517,0.003649244
18533,0.00403924
18550,0.004274206
18567,0.004269361
18583,0.003920545
18600,0.003106641
18617,0.001687155
18633,-0.0004941557
18650,-0.003595953
18667,-0.007772054
18683,-0.01315811
18700,-0.01985465
18717,-0.02789679
18733,-0.03722641
18750,-0.04766545
18767,-0.05890144
18783,-0.0705141
18800,-0.08206135
18817,-0.09319923
18833,-0.1037703
18850,-0.1138278
18867,-0.123585
18883,-0.1332985
18900,-0.1431162
18917,-0.1529448
18933,-0.1623823
18950,-0.1706957
18967,-0.1768557
18983,-0.1797043
19000,-0.1782679
19017,-0.1720268
19033,-0.1609168
19050,-0.1450844
19067,-0.1246375
19083,-0.09959058
19100,-0.07000421
19117,-0.03622237
19133,0.000907133
19150,0.03994182
19167,0.07892808
19183,0.1155913
19200,0.1475479
19217,0.1725876
19233,0.1890582
19250,0.1962101
19267,0.1942638
19283,0.1841748
19300,0.1673141
19317,0.1452273
19333,0.1194828
19350,0.09157024
19367,0.06282683
19383,0.03435594
19400,0.006925451
19417,-0.01904316
19433,-0.04326528
19450,-0.06527944
19467,-0.08428507
19483,-0.09925145
19500,-0.1091963
19517,-0.1134669
19533,-0.1119469
19550,-0.1050832
19567,-0.09369941
19583,-0.07874634
19600,-0.06118808
19617,-0.04203593
19633,-0.0223654
19650,-0.00326169
19667,0.01423481
19683,0.02916608
19700,0.04077512
19717,0.04871068
19733,0.05320167
19750,0.05507774
19767,0.05560702
19783,0.05619445
19800,0.05799064
19817,0.06155271
19833,0.0667147
19850,0.07272208
19867,0.07853324
19883,0.08311386
19900,0.08561976
19917,0.0854732
19933,0.08237261
19950,0.07629377
19967,0.06748375
19983,0.05641855
20000,0.0437328
20017,0.03015683
20033,0.01649003
20050,0.003535394
20067,-0.008037294
20083,-0.01776659
20100,-0.02529521
20117,-0.03018833
20133,-0.03189729
20150,-0.02988918
20167,-0.02377521
20183,-0.01341488
20200,0.0008938403
20217,0.01816508
20233,0.03665354
20250,0.05413309
20267,0.06842121
20283,0.07791796
20300,0.08196083
20317,0.0808829
20333,0.0757742
20350,0.06807602
20367,0.0591909
20383,0.05021495
20400,0.04180582
20417,0.03419244
20433,0.02732633
20450,0.02109367
20467,0.01545811
20483,0.01047417
20500,0.006226606
20517,0.002785682
20533,0.0001974201
20550,-0.001512747
20567,-0.002358141
20583,-0.002445345
20600,-0.002021436
20617,-0.001425543
20633,-0.0009289645
20650,-0.0006092165
20667,-0.0004008959
20683,-0.0002361774
20700,-7.751465E-05
20717,0.00014534
20733,0.0005401801
20750,0.001176042
20767,0.002080783
20783,0.003307695
20800,0.004906435
20817,0.006783742
20833,0.008636827
20850,0.01007327
20867,0.01079513
20883,0.01071398
20900,0.009973953
20917,0.008904493
20933,0.007887114
20950,0.007179793
20967,0.006807966
20983,0.006583901
21000,0.006220552
21017,0.005473262
21033,0.004254827
21050,0.002659719
21067,0.0008768824
21083,-0.0009120085
21100,-0.00254466
21117,-0.003836974
21133,-0.004603644
21150,-0.004767151
21167,-0.004435291
21183,-0.003872098
21200,-0.003390054
21217,-0.003215646
21233,-0.003383999
21250,-0.00371707
21267,-0.003929025
21283,-0.003805485
21300,-0.003314962
21317,-0.002596739
21333,-0.001849449
21350,-0.001190575
21367,-0.0005510802
21383,0.0003512376
21400,0.001923331
21417,0.004583052
21433,0.008688906
21450,0.01448797
21467,0.022019
21483,0.03103613
21500,0.04109124
21517,0.05170348
21533,0.06242714
21550,0.07275839
21567,0.08205772
21583,0.0896263
21600,0.09486581
21617,0.09738624
21633,0.09702893
21650,0.09386052
21667,0.08817653
21683,0.08050381
21700,0.07156783
21717,0.0621825
21733,0.05307088
21750,0.04471747
21767,0.03734873
21783,0.03100707
21800,0.0255871
21817,0.02083448
21833,0.0163895
21850,0.01191666
21867,0.007211286
21883,0.002199486
21900,-0.003122377
21917,-0.008738556
21933,-0.01461151
21950,-0.02066492
21967,-0.02675466
21983,-0.03264335
22000,-0.03797612
22017,-0.04226365
22033,-0.0449161
22050,-0.04535939
22067,-0.04321927
22083,-0.03843516
22100,-0.03121419
22117,-0.02192695
22133,-0.01108338
22150,0.0006528139
22167,0.01255251
22183,0.02399562
22200,0.03455337
22217,0.04395687
22233,0.05208137
22250,0.05896442
22267,0.06477559
22283,0.06972806
22300,0.07405072
22317,0.07802214
22333,0.08194751
22350,0.08608482
22367,0.09062547
22383,0.0957257
22400,0.101463
22417,0.1076921
22433,0.1139623
22450,0.1195954
22467,0.1238236
22483,0.125845
22500,0.1247792
22517,0.1196584
22533,0.1095694
22550,0.09392117
22567,0.07268457
22583,0.04645671
22600,0.01633135
22617,-0.01630596
22633,-0.04991582
22650,-0.08282685
22667,-0.1132284
22683,-0.1392829
22700,-0.1594355
22717,-0.1728443
22733,-0.1796995
22750,-0.181182
22767,-0.1789946
22783,-0.1747059
22800,-0.1692823
22817,-0.1630351
22833,-0.1558941
22850,-0.1477441
22867,-0.1386277
22883,-0.1287651
22900,-0.1184848
22917,-0.1081244
22933,-0.09794097
22950,-0.08806147
22967,-0.07849689
22983,-0.06920482
23000,-0.06013198
23017,-0.05123112
23033,-0.04250346
23050,-0.034058
23067,-0.02612486
23083,-0.01899472
23100,-0.01293889
23117,-0.008169316
23133,-0.004813175
23150,-0.002857141
23167,-0.002079573
23183,-0.002044449
23200,-0.002217646
23217,-0.002147398
23233,-0.001603584
23250,-0.0006273842
23267,0.0004965781
23283,0.001357717
23300,0.001632652
23317,0.001277781
23333,0.0005317022
23350,-0.0002737237
23367,-0.0009095861
23383,-0.001302004
23400,-0.001466722
23417,-0.001442499
23433,-0.00126688
23450,-0.0009774113
23467,-0.0006092167
23483,-0.000188942
23500,0.0002616119
23517,0.0007230663
23533,0.001174831
23550,0.001595106
23567,0.001959667
23583,0.00223218
23600,0.002365408
23617,0.002300005
23633,0.001965723
23650,0.001282625
23667,0.0001647186
23683,-0.001472778
23700,-0.003715858
23717,-0.006645669
23733,-0.01032519
23750,-0.01478107
23767,-0.01999151
23783,-0.02587293
23800,-0.03225215
23817,-0.03884695
23833,-0.04529156
23850,-0.05125776
23867,-0.05661717
23883,-0.06151392
23900,-0.06625564
23917,-0.07111242
23933,-0.07621749
23950,-0.08164109
23967,-0.08753221
23983,-0.09415728
24000,-0.1017985
24017,-0.1105722
24033,-0.1202797
24050,-0.1303675
24067,-0.1400193
24083,-0.1483545
24100,-0.154638
24117,-0.1584023
24133,-0.1594452
24150,-0.1577314
24167,-0.1532574
